group_id,store,name,price,url,volume
2435,supermarket.am,"Lollipops ""Halls"" 25g Fruit",160.0,/en/products/ledentsy-halls-colors-g-rossiya_530946/,25g
2435,yerevan_city,"Lollipops ""Halls"" watermelon 25g",160.0,/shop/product-details/16348,25g
2436,supermarket.am,"Chewing gum  ""Mentos"" 12.9g",240.0,/en/products/zhev-rezinka-mentos-ledyanaya-vishnya-g-tabletki-rossiya_11138/,12g
2436,yerevan_city,"Chewing gum ""Mentos"" spearmint 12.9g",240.0,/shop/product-details/6346,12g
2436,sas,"Orange & mint chewing gum ""Mentos"" 12.9g",260.0,/en/catalog/zhevatelnaya_rezinka/45918/,12g
2437,supermarket.am,"Lollipops ""Halls"" 25g Honey & Lemon",160.0,/en/products/ledentsy-halls-so-vkusom-meda-i-limona-g-rossiya_651248/,25g
2437,yerevan_city,"Lollipops ""Halls"" honey and lemon 25g",160.0,/shop/product-details/2553,25g
2438,supermarket.am,"Dragee ""Grand Candy Emoji"" 80g",480.0,/en/products/_1951685/,80g
2438,yerevan_city,"Dragee ""Grand Candy"" Emoji, milk, explosive caramel 80g",490.0,/shop/product-details/98928,80g
2439,supermarket.am,"Dragee ""Skittles"" 38g",300.0,/en/products/konfety-skittles-v-raduga-g-rossiya_202841/,38g
2439,sas,"Dragee ""Skittles"" 38g",320.0,/en/catalog/konfety_v_upakovke/79343/,38g
2439,yerevan_city,"Dragee ""Skittles"" 2in1 38g",300.0,/shop/product-details/19885,38g
2440,supermarket.am,"Chewing Gum ""Chupa Chups Babol"" 21.5g Banana",150.0,/en/products/zhev-rezinka-chupa-chups-babol-banana-g-rossiya_473439/,21g
2440,yerevan_city,"Chewing gum ""Chupa Chups"" Big Bubble, banana 21g",150.0,/shop/product-details/13667,21g
2441,supermarket.am,"Chewing gum ""Mentos"" 12.9g Orange",240.0,/en/products/zhev-rezinka-mentos-ledyanoy-apelsin-g-tabletki-rossiya_11140/,12g
2441,yerevan_city,"Chewing gum ""Mentos"" ice orange 12.9g",240.0,/shop/product-details/14336,12g
2441,sas,"Peppermint chewing gum ""Mentos Ice"" 12.9g",260.0,/en/catalog/zhevatelnaya_rezinka/45917/,12g
2442,supermarket.am,"Chewing gum ""Mentos Pure Fresh"" 15.5g Grape",200.0,/en/products/_989713/,15g
2442,yerevan_city,"Chewing gum ""Mentos"" Pure, grape 15.5g",200.0,/shop/product-details/10887,15g
2442,sas,"Grape chewing gum ""Mentos Pure Fresh"" 15.5g",220.0,/en/catalog/zhevatelnaya_rezinka/5136/,15g
2443,supermarket.am,"Chewing gum ""Mentos Pure Fresh"" 54g Grape",1290.0,/en/products/_989714/,54g
2443,yerevan_city,"Chewing gum ""Mentos"" Pure, grape 54g",1290.0,/shop/product-details/10940,54g
2443,sas,"Grape chewing gum ""Mentos Pure Fresh"" 54g",1320.0,/en/catalog/zhevatelnaya_rezinka/5151/,54g
2444,supermarket.am,"Chocolate candy ""Сhupa Chups"" 25g",560.0,/en/products/shokoladnyy-sharik-shupa-chups-masha-i-medved-g_34810/,25g
2444,sas,"Chocolate ball ""Chupa Chups"" 25g 1 pcs",590.0,/en/catalog/konfety_v_upakovke/207586/,25g
2445,supermarket.am,"Chewing gum ""Mentos"" 12.9g Mint",240.0,/en/products/zhev-rezinka-mentos-snezhnaya-myata-g-tabletki-rossiya_11148/,12g
2445,yerevan_city,"Chewing gum ""Mentos"" ice mint 12.9g",240.0,/shop/product-details/4848,12g
2446,supermarket.am,"Dragee ""Kit Kat Pops Milk"" 110g",1150.0,/en/products/_1985913/,110g
2447,supermarket.am,"Caramel candies ""Werther's Original"" 50g",310.0,/en/products/konfety-storck-werther-s-original-cream-candies-g-_15497/,50g
